player_name,team_name,match_no,tackles,recoveries,gk_saves
Alexander Isak,Sweden,33,0,4,0
Alexander Isak,Sweden,57,0,1,0
Alexander Isak,Sweden,78,1,2,0
Alexander Prass,Austria,41,0,1,0
Alexander Prass,Austria,83,0,1,0
Alexander Schlager,Austria,20,0,7,3
Alexander Schlager,Austria,41,0,3,2
Alexander Schlager,Austria,71,0,4,2
Alexander Schlager,Austria,83,0,9,6
Alexander Sørloth,Norway,18,0,1,0
Alexander Sørloth,Norway,43,0,5,0
Alexander Sørloth,Norway,77,1,4,0
Alexander Sørloth,Norway,91,0,3,0
Alexander Sørloth,Norway,99,0,3,0
Alexandr Sojka,Czechia,2,1,0,0
Alexandr Sojka,Czechia,25,0,8,0
Alexandr Sojka,Czechia,53,0,1,0
Alexandro Maidana,Paraguay,32,0,1,0
Alexandro Maidana,Paraguay,59,2,1,0
Alexis Mac Allister,Argentina,19,1,6,0
Alexis Mac Allister,Argentina,41,4,4,0
Alexis Mac Allister,Argentina,72,3,1,0
Alexis Mac Allister,Argentina,87,4,6,0
Alexis Mac Allister,Argentina,95,3,3,0
Alexis Mac Allister,Argentina,100,3,2,0
Alexis Mac Allister,Argentina,102,1,4,0
Alexis Mac Allister,Argentina,104,2,5,0
Alexis Saelemaekers,Belgium,38,1,0,0
Alexis Saelemaekers,Belgium,66,1,2,0
Alexis Saelemaekers,Belgium,94,0,2,0
Alexis Saelemaekers,Belgium,98,0,0,0
Alexis Vega,Mexico,1,0,0,0
Alhashmi Mohialdin,Qatar,27,3,0,0
Ali Abdi,Tunisia,12,2,2,0
Ali Abdi,Tunisia,36,4,3,0
Ali Abdi,Tunisia,58,3,7,0
Ali Ahmed,Canada,3,1,3,0
Ali Ahmed,Canada,27,2,0,0
Ali Ahmed,Canada,50,0,3,0
Ali Ahmed,Canada,89,4,4,0
Ali Al Azaizah,Jordan,20,0,0,0
Ali Al Azaizah,Jordan,44,1,0,0
Ali Al Azaizah,Jordan,72,2,4,0
Ali Al-Hamadi,Iraq,18,2,5,0
Ali Al-Hamadi,Iraq,42,0,3,0
Ali Al-Hamadi,Iraq,62,1,1,0
Ali Alipour,Iran,16,1,1,0
Ali Jasim,Iraq,18,1,1,0
Ali Jasim,Iraq,62,0,2,0
Ali Lajami,Saudi Arabia,15,0,0,0
Ali Lajami,Saudi Arabia,37,1,1,0
Ali Lajami,Saudi Arabia,63,1,2,0
Ali Nemati,Iran,16,0,3,0
Ali Nemati,Iran,38,0,1,0
Ali Nemati,Iran,65,3,1,0
Ali Olwan,Jordan,20,0,3,0
Ali Olwan,Jordan,44,2,6,0
Ali Olwan,Jordan,72,0,1,0
Ali Yousif,Iraq,62,1,1,0
Alidu Seidu,Ghana,88,1,3,0
Alireza Beiranvand,Iran,16,0,9,6
Alireza Beiranvand,Iran,38,0,12,7
Alireza Beiranvand,Iran,65,0,9,2
Alireza Jahanbakhsh,Iran,38,1,1,0
Alireza Jahanbakhsh,Iran,65,0,0,0
Alisson,Brazil,6,0,4,2
Alisson,Brazil,31,0,5,3
Alisson,Brazil,52,0,8,5
Alisson,Brazil,74,0,5,1
Alisson,Brazil,91,0,7,3
Alistair Johnston,Canada,3,1,3,0
Alistair Johnston,Canada,27,0,2,0
Alistair Johnston,Canada,50,0,2,0
Alistair Johnston,Canada,73,0,5,0
Alistair Johnston,Canada,89,1,4,0
Almoez Ali,Qatar,49,0,0,0
Alphonso Davies,Canada,73,0,1,0
Alvaro Fidalgo,Mexico,1,0,0,0
Alvaro Fidalgo,Mexico,53,0,1,0
Alvaro Fidalgo,Mexico,92,0,0,0
Amad Diallo,Ivory Coast,11,1,3,0
Amad Diallo,Ivory Coast,34,2,4,0
Amad Diallo,Ivory Coast,55,2,4,0
Amad Diallo,Ivory Coast,77,0,0,0
Amadou Onana,Belgium,14,0,5,0
Amadou Onana,Belgium,66,1,1,0
Amadou Onana,Belgium,81,1,1,0
Amadou Onana,Belgium,94,2,2,0
Amar Dedic,Bosnia and Herzegovina,3,2,2,0
Amar Dedic,Bosnia and Herzegovina,26,2,9,0
Amar Dedic,Bosnia and Herzegovina,82,5,5,0
Amar Memic,Bosnia and Herzegovina,3,0,2,0
Amar Memic,Bosnia and Herzegovina,26,2,7,0
Amar Memic,Bosnia and Herzegovina,49,1,2,0
Amar Memic,Bosnia and Herzegovina,82,0,2,0
Amer Jamous,Jordan,72,0,0,0
Amine Ben Hmida,Tunisia,12,5,10,0
Amine Ben Hmida,Tunisia,36,3,3,0
Amine Ben Hmida,Tunisia,58,4,4,0
Amine Gouiri,Algeria,19,0,1,0
Amine Gouiri,Algeria,44,1,2,0
Amine Gouiri,Algeria,71,0,2,0
Amine Gouiri,Algeria,85,0,0,0
Amine Sbai,Morocco,97,0,0,0
Amir Al-Ammari,Iraq,18,0,3,0
Amir Al-Ammari,Iraq,42,1,3,0
Amir Al-Ammari,Iraq,62,1,2,0
Amir Hadziahmetovic,Bosnia and Herzegovina,26,0,0,0
Amir Murillo,Panama,23,6,7,0
Amir Murillo,Panama,47,1,4,0
Amir Murillo,Panama,68,0,4,0
Amirhossein Hosseinzadeh,Iran,16,1,1,0
Amirhossein Hosseinzadeh,Iran,38,1,0,0
Anass Salah-Eddine,Morocco,6,0,0,0
Anass Salah-Eddine,Morocco,51,2,1,0
Anass Salah-Eddine,Morocco,76,2,4,0
Anass Salah-Eddine,Morocco,97,3,2,0
Andreas Schjelderup,Norway,18,0,0,0
Andreas Schjelderup,Norway,43,0,1,0
Andreas Schjelderup,Norway,61,1,6,0
Andreas Schjelderup,Norway,77,0,2,0
Andreas Schjelderup,Norway,91,1,5,0
Andreas Schjelderup,Norway,99,6,6,0
Andrej Kramarić,Croatia,22,0,1,0
Andrej Kramarić,Croatia,47,1,2,0
Andrej Kramarić,Croatia,84,0,0,0
Andrés Andrade,Panama,23,4,2,0
Andrés Andrade,Panama,47,0,6,0
Andrés Andrade,Panama,68,2,3,0
Andres Cubas,Paraguay,4,5,5,0
Andres Cubas,Paraguay,32,1,6,0
Andres Cubas,Paraguay,59,3,5,0
Andres Cubas,Paraguay,75,6,4,0
Andres Cubas,Paraguay,90,7,5,0
Andrés Gómez,Colombia,24,1,0,0
Andy Robertson,Scotland,7,1,1,0
Andy Robertson,Scotland,30,0,9,0
Andy Robertson,Scotland,52,1,2,0
Ange-Yoan Bonny,Ivory Coast,11,0,1,0
