PLAYER,POSITION,TEAM,GOALS,ASSISTS,xG,BCM,DRIBBLES,CHANCES_CREATED,TACKLES,RECOVERIES,SAVES
Alexandro Maidana,Defender,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Alexis Mac Allister,Midfielder,Argentina,0.0,0.0,0.08,0.0,0.0,1.0,8.0,11.0,0.0
Alexis Saelemaekers,Forward,Belgium,1.0,0.0,0.18,0.0,2.0,0.0,2.0,2.0,0.0
Alexis Vega,Forward,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alhashmi Mohialdin,Defender,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Ali Abdi,Defender,Tunisia,0.0,0.0,0.06,0.0,2.0,0.0,9.0,12.0,0.0
Ali Ahmed,Forward,Canada,0.0,0.0,0.23,0.0,1.0,2.0,3.0,6.0,0.0
Ali Al Azaizah,Midfielder,Jordan,0.0,0.0,0.07,0.0,2.0,0.0,3.0,4.0,0.0
Ali Al-Hamadi,Forward,Iraq,0.0,0.0,0.77,1.0,2.0,2.0,3.0,9.0,0.0
Ali Alipour,Forward,Iran,0.0,0.0,0.06,0.0,0.0,0.0,1.0,1.0,0.0
Ali Jasim,Forward,Iraq,0.0,0.0,0.1,0.0,2.0,1.0,1.0,3.0,0.0
Ali Lajami,Defender,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Ali Nemati,Defender,Iran,0.0,0.0,0.08,0.0,0.0,2.0,3.0,5.0,0.0
Ali Olwan,Forward,Jordan,1.0,0.0,0.28,0.0,6.0,4.0,2.0,10.0,0.0
Ali Yousif,Forward,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Alireza Beiranvand,Goalkeeper,Iran,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,15.0
Alireza Jahanbakhsh,Forward,Iran,0.0,0.0,0.08,0.0,1.0,1.0,1.0,1.0,0.0
Alisson,Goalkeeper,Brazil,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0
Alistair Johnston,Defender,Canada,0.0,0.0,0.24,1.0,2.0,9.0,1.0,7.0,0.0
Almoez Ali,Forward,Qatar,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro Fidalgo,Midfielder,Mexico,1.0,0.0,0.21,0.0,0.0,1.0,0.0,1.0,0.0
Amad Diallo,Forward,Ivory Coast,1.0,0.0,0.86,1.0,7.0,3.0,5.0,11.0,0.0
Amadou Onana,Midfielder,Belgium,0.0,0.0,0.05,0.0,0.0,0.0,1.0,6.0,0.0
Amar Dedic,Defender,Bosnia and Herzegovina,0.0,0.0,0.03,0.0,3.0,0.0,4.0,11.0,0.0
Amar Memic,Forward,Bosnia and Herzegovina,0.0,0.0,0.07,0.0,1.0,0.0,3.0,11.0,0.0
Amer Jamous,Midfielder,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amine Ben Hmida,Defender,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,0.0
Amine Gouiri,Forward,Algeria,1.0,0.0,0.49,0.0,1.0,1.0,1.0,5.0,0.0
Amir Al-Ammari,Midfielder,Iraq,0.0,1.0,0.0,0.0,1.0,4.0,2.0,8.0,0.0
Amir Hadziahmetovic,Midfielder,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Murillo,Defender,Panama,0.0,0.0,0.29,0.0,5.0,6.0,7.0,15.0,0.0
Amirhossein Hosseinzadeh,Forward,Iran,0.0,0.0,0.05,0.0,0.0,1.0,2.0,1.0,0.0
Anass Salah-Eddine,Defender,Morocco,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
Andreas Schjelderup,Forward,Norway,0.0,1.0,0.0,0.0,2.0,3.0,1.0,7.0,0.0
Andrej Kramarić,Forward,Croatia,0.0,0.0,0.01,0.0,0.0,0.0,1.0,3.0,0.0
Andrés Andrade,Defender,Panama,0.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0,0.0
Andres Cubas,Midfielder,Paraguay,0.0,0.0,0.02,0.0,1.0,1.0,9.0,16.0,0.0
Andrés Gómez,Forward,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Andy Robertson,Defender,Scotland,0.0,0.0,0.0,0.0,1.0,3.0,2.0,12.0,0.0
Ange-Yoan Bonny,Forward,Ivory Coast,0.0,0.0,0.05,0.0,1.0,0.0,2.0,3.0,0.0
Angelo Preciado,Midfielder,Ecuador,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
Angelo Stiller,Midfielder,Germany,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
Angus Gunn,Goalkeeper,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,8.0
Aníbal Godoy,Midfielder,Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Anis Ben Slimane,Midfielder,Tunisia,0.0,0.0,0.13,1.0,0.0,2.0,2.0,4.0,0.0
Anis Hadj Moussa,Forward,Algeria,0.0,0.0,0.15,0.0,2.0,3.0,1.0,4.0,0.0
Ante Budimir,Forward,Croatia,1.0,0.0,0.8,0.0,1.0,0.0,1.0,4.0,0.0
Anthony Elanga,Forward,Sweden,2.0,0.0,0.38,0.0,2.0,0.0,0.0,4.0,0.0
Anthony Gordon,Forward,England,0.0,0.0,0.3,1.0,2.0,2.0,1.0,2.0,0.0
Antoine Semenyo,Forward,Ghana,0.0,0.0,0.13,1.0,2.0,1.0,1.0,5.0,0.0
Antonee Robinson,Defender,USA,0.0,0.0,0.0,0.0,5.0,2.0,3.0,11.0,0.0
Antonio Nusa,Forward,Norway,0.0,0.0,0.09,0.0,3.0,1.0,1.0,3.0,0.0
Antonio Rudiger,Defender,Germany,0.0,0.0,0.02,0.0,0.0,0.0,2.0,4.0,0.0
Antonio Sanabria,Forward,Paraguay,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ao Tanaka,Midfielder,Japan,0.0,0.0,0.08,0.0,3.0,1.0,7.0,11.0,0.0
Arda Guler,Forward,Türkiye,1.0,0.0,1.04,0.0,4.0,5.0,4.0,8.0,0.0
Ardon Jashari,Midfielder,Switzerland,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Aria Yousefi,Midfielder,Iran,0.0,0.0,0.05,0.0,0.0,1.0,0.0,3.0,0.0
Arjan Malic,Defender,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Armando Gonzalez,Forward,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armando Obispo,Defender,Curaçao,0.0,0.0,0.0,0.0,1.0,0.0,3.0,14.0,0.0
Armin Gigovic,Midfielder,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0
Arthur Masuaku,Defender,DR Congo,0.0,1.0,0.0,0.0,1.0,5.0,4.0,20.0,0.0
Arthur Theate,Defender,Belgium,0.0,0.0,0.19,0.0,0.0,1.0,1.0,1.0,0.0
Assane Diao,Forward,Senegal,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Assim Madibo,Midfielder,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
Aubrey Modiba,Defender,South Africa,0.0,0.0,0.16,0.0,0.0,3.0,10.0,8.0,0.0
Aurélien Tchouaméni,Midfielder,France,0.0,1.0,0.04,0.0,1.0,2.0,10.0,12.0,0.0
Auston Trusty,Defender,USA,1.0,0.0,0.3,1.0,0.0,0.0,1.0,3.0,0.0
Axel Tuanzebe,Defender,DR Congo,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0
Ayase Ueda,Forward,Japan,2.0,1.0,0.72,1.0,2.0,3.0,1.0,4.0,0.0
Aymen Dahmen,Goalkeeper,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0
Aymen Hussein,Forward,Iraq,1.0,0.0,0.2,0.0,0.0,1.0,0.0,1.0,0.0
Aymeric Laporte,Defender,Spain,0.0,1.0,0.07,0.0,0.0,3.0,1.0,9.0,0.0
Ayoub Al Oui,Defender,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Ayoub El Kaabi,Forward,Morocco,0.0,0.0,0.17,0.0,1.0,0.0,3.0,1.0,0.0
Ayoube Amaimouni Echghouyab,Forward,Morocco,0.0,0.0,0.23,1.0,1.0,0.0,1.0,3.0,0.0
Ayumu Seko,Defender,Japan,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
Ayyoub Bouaddi,Midfielder,Morocco,0.0,0.0,0.01,0.0,3.0,0.0,5.0,10.0,0.0
Azarias Londoño,Midfielder,Panama,0.0,0.0,0.02,0.0,2.0,2.0,0.0,4.0,0.0
Aziz Behich,Defender,Australia,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0
Azizbek Amanov,Midfielder,Uzbekistan,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0
Azizjon Ganiev,Midfielder,Uzbekistan,0.0,0.0,0.01,0.0,1.0,0.0,8.0,8.0,0.0
Azzedine Ounahi,Midfielder,Morocco,0.0,0.0,0.01,0.0,4.0,4.0,1.0,10.0,0.0
Baris Alper Yilmaz,Forward,Türkiye,1.0,1.0,0.9,1.0,3.0,3.0,2.0,3.0,0.0
Bart Verbruggen,Goalkeeper,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0
Bazoumana Toure,Forward,Ivory Coast,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
Bekhruz Karimov,Defender,Uzbekistan,0.0,0.0,0.03,0.0,6.0,2.0,6.0,15.0,0.0
Ben Gannon-Doak,Forward,Scotland,0.0,0.0,0.17,0.0,4.0,2.0,2.0,2.0,0.0
Benjamin Asare,Goalkeeper,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0
Benjamin Nygren,Forward,Sweden,0.0,0.0,0.05,0.0,2.0,2.0,0.0,6.0,0.0
Benjamin Old,Forward,New Zealand,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
Benjamin Tahirovic,Midfielder,Bosnia and Herzegovina,0.0,0.0,0.02,0.0,0.0,0.0,5.0,9.0,0.0
Bernardo Silva,Midfielder,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Besfort Zeneli,Midfielder,Sweden,0.0,0.0,0.01,0.0,0.0,0.0,1.0,4.0,0.0
Bilal El Khannouss,Midfielder,Morocco,0.0,0.0,0.29,1.0,7.0,6.0,8.0,18.0,0.0
Bono,Goalkeeper,Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0
Boualem Khoukhi,Defender,Qatar,0.0,0.0,0.06,0.0,0.0,0.0,5.0,8.0,0.0
Bradley Barcola,Forward,France,1.0,1.0,0.45,0.0,3.0,2.0,2.0,6.0,0.0
Brahim Diaz,Forward,Morocco,0.0,2.0,0.37,1.0,5.0,6.0,0.0,13.0,0.0
Brandley Kuwas,Forward,Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Brandon Mechele,Defender,Belgium,0.0,0.0,0.47,1.0,1.0,0.0,3.0,12.0,0.0
Brandon Thomas-Asante,Forward,Ghana,0.0,0.0,0.06,0.0,1.0,0.0,0.0,2.0,0.0
Breel Embolo,Forward,Switzerland,1.0,2.0,1.96,2.0,3.0,8.0,1.0,3.0,0.0
Brenden Aaronson,Midfielder,USA,0.0,0.0,0.54,1.0,0.0,2.0,4.0,3.0,0.0
Brian Brobbey,Forward,Netherlands,3.0,0.0,1.83,0.0,0.0,5.0,1.0,2.0,0.0
Brian Cipenga,Midfielder,DR Congo,0.0,0.0,0.08,0.0,6.0,0.0,2.0,8.0,0.0
Brian Gutierrez,Forward,Mexico,0.0,0.0,0.2,0.0,0.0,4.0,1.0,2.0,0.0
Brian Rodríguez,Forward,Uruguay,0.0,0.0,0.11,0.0,2.0,2.0,0.0,2.0,0.0
Bruno Fernandes,Midfielder,Portugal,0.0,1.0,0.49,1.0,1.0,4.0,7.0,5.0,0.0
Bruno Guimaraes,Midfielder,Brazil,0.0,3.0,0.04,0.0,2.0,5.0,7.0,14.0,0.0
Bukayo Saka,Forward,England,0.0,2.0,0.27,0.0,3.0,2.0,2.0,2.0,0.0
Caglar Soyuncu,Defender,Türkiye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Yirenkyi,Midfielder,Ghana,1.0,0.0,1.0,0.0,3.0,0.0,2.0,14.0,0.0
Callan Elliot,Defender,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Callum McCowatt,Forward,New Zealand,0.0,0.0,0.34,1.0,2.0,0.0,1.0,11.0,0.0
Cameron Burgess,Defender,Australia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Camilo Vargas,Goalkeeper,Colombia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,4.0
