match_no,match_type,Group_name,home_team,HTG,ATG,away_team,winner,potm,stadium,city,referee,result_in
48,Group Stage,K,Colombia,1,0,DR Congo,Colombia,Daniel Muñoz,Estadio Akron,Guadalajara,Maurizio Mariani,FT
49,Group Stage,B,Bosnia and Herzegovina,3,1,Qatar,Bosnia and Herzegovina,Kerim Alajbegovic,Lumen Field,Seattle,Jesús Noel Valenzuela Sáez,FT
50,Group Stage,B,Switzerland,2,1,Canada,Switzerland,Johan Manzambi,BC Place,Vancouver,Ramon Abatti,FT
51,Group Stage,C,Morocco,4,2,Haiti,Morocco,Achraf Hakimi,Mercedes-Benz Stadium,Atlanta,Danny Desmond Makkelie,FT
52,Group Stage,C,Scotland,0,3,Brazil,Brazil,Vinicius Junior,Hard Rock Stadium,Miami,César Arturo Ramos Palazuelos,FT
53,Group Stage,A,Czechia,0,3,Mexico,Mexico,Mateo Chavez,Estadio Azteca,Mexico City,Yael Falcón Pérez,FT
54,Group Stage,A,South Africa,1,0,South Korea,South Africa,Thapelo Maseko,Estadio BBVA,Monterrey,Facundo Raúl Tello Figueroa,FT
55,Group Stage,E,Curaçao,0,2,Ivory Coast,Ivory Coast,Nicolas Pepe,Lincoln Financial Field,Philadelphia,Glenn Nyberg,FT
56,Group Stage,E,Ecuador,2,1,Germany,Ecuador,Nilson Angulo,Metlife Stadium,New York,Mary Victoria Penso,FT
57,Group Stage,F,Japan,1,1,Sweden,Draw,Anthony Elanga,AT&T Stadium,Dallas,Iván Arcides Barton Cisneros,FT
58,Group Stage,F,Tunisia,1,3,Netherlands,Netherlands,Brian Brobbey,Arrowhead Stadium,Kansas City,Katia Itzel García Mendoza,FT
59,Group Stage,D,Paraguay,0,0,Australia,Draw,Aiden O'Neill,Levi's Stadium,San Francisco Bay Area,Clément Turpin,FT
60,Group Stage,D,Turkiye,3,2,USA,Türkiye,Arda Guler,SoFi Stadium,Los Angeles,Mustapha Ghorbal,FT
61,Group Stage,I,Norway,1,4,France,France,Ousmane Dembélé,Gillette Stadium,Boston,Michael Oliver,FT
62,Group Stage,I,Senegal,5,0,Iraq,Senegal,Pape Gueye,Toronto Stadium,Toronto,Anthony Taylor,FT
63,Group Stage,H,Cape Verde,0,0,Saudi Arabia,Draw,Deroy Duarte,NRG Stadium,Houston,François Letexier,FT
64,Group Stage,H,Uruguay,0,1,Spain,Spain,Alex Baena,Estadio Akron,Guadalajara,Ismail Elfath,FT
65,Group Stage,G,Egypt,1,1,Iran,Draw,Ramin Rezaeian,Lumen Field,Seattle,Szymon Marciniak,FT
66,Group Stage,G,New Zealand,1,5,Belgium,Belgium,Leandro Trossard,BC Place,Vancouver,Adham Mohammad Tumah Makhadmeh,FT
67,Group Stage,L,Croatia,2,1,Ghana,Croatia,Petar Sucic,Lincoln Financial Field,Philadelphia,Drew Thomas Fischer,FT
68,Group Stage,L,Panama,0,2,England,England,Jude Bellingham,MetLife Stadium,New York,Abdulrahman Ibrahim Al Jassim,FT
69,Group Stage,K,Colombia,0,0,Portugal,Draw,Diogo Costa,Hard Rock Stadium,Miami,Alireza Faghani,FT
70,Group Stage,K,DR Congo,3,1,Uzbekistan,DR Congo,Yoane Wissa,Mercedes-Benz Stadium,Atlanta,Felix Zwayer,FT
71,Group Stage,J,Algeria,3,3,Austria,Draw,Riyad Mahrez,Arrowhead Stadium,Kansas City,Ilgiz Tantashev,FT
72,Group Stage,J,Jordan,1,3,Argentina,Argentina,Giovani Lo Celso,AT&T Stadium,Dallas,István Kovács,FT
