goal_no,scored_for,scored_by,minute,half,assist_by,goal_type,scored_ag,match_no
95,Brazil,Vinicius Junior,48,1,Lucas Paqueta,Regular,Haiti,31
96,Paraguay,Matias Galarza,2,1,Julio Enciso,Regular,Türkiye,32
97,Netherlands,Brian Brobbey,5,1,Cody Gakpo,Regular,Sweden,33
98,Netherlands,Brian Brobbey,17,1,Denzel Dumfries,Regular,Sweden,33
99,Netherlands,Cody Gakpo,47,2,Denzel Dumfries,Regular,Sweden,33
100,Netherlands,Cody Gakpo,54,2,Crysencio Summerville,Regular,Sweden,33
101,Sweden,Anthony Elanga,59,2,Alexander Isak,Regular,Netherlands,33
102,Netherlands,Crysencio Summerville,89,2,Memphis Depay,Regular,Sweden,33
103,Ivory Coast,Franck Kessié,30,1,,Regular,Germany,34
104,Germany,Deniz Undav,68,2,Nadiem Amiri,Regular,Ivory Coast,34
105,Germany,Deniz Undav,94,2,Felix Nmecha,Regular,Ivory Coast,34
106,Japan,Daichi Kamada,4,1,Keito Nakamura,Regular,Tunisia,36
107,Japan,Ayase Ueda,31,1,Ko Itakura,Regular,Tunisia,36
108,Japan,Junya Ito,69,2,Ayase Ueda,Regular,Tunisia,36
109,Japan,Ayase Ueda,83,2,Kaishu Sano,Header,Tunisia,36
110,Spain,Lamine Yamal,10,1,Mikel Oyarzabal,Regular,Saudi Arabia,37
111,Spain,Mikel Oyarzabal,21,1,Aymeric Laporte,Regular,Saudi Arabia,37
112,Spain,Mikel Oyarzabal,24,1,Dani Olmo,Regular,Saudi Arabia,37
113,Spain,Hassan Altambakti,49,2,,Own goal,Saudi Arabia,37
114,Cape Verde,Kevin Lenini,21,1,,Free kick,Uruguay,39
115,Uruguay,Maximiliano Araújo,44,1,,Header,Cape Verde,39
116,Uruguay,Agustín Canobbio,51,1,Maximiliano Araújo,Regular,Cape Verde,39
117,Cape Verde,Hélio Varela,61,2,,Regular,Uruguay,39
118,New Zealand,Finn Surman,15,1,Tim Payne,Header,Egypt,40
119,Egypt,Mostafa Ziko,58,2,Mohamed Hany,Header,New Zealand,40
120,Egypt,Mohamed Salah,67,2,Mostafa Ziko,Regular,New Zealand,40
121,Egypt,Mahmoud Trezeguet,82,2,Mohamed Salah,Header,New Zealand,40
122,Argentina,Lionel Messi,38,1,Facundo Medina,Regular,Austria,41
123,Argentina,Lionel Messi,95,2,,Regular,Austria,41
124,France,Kylian Mbappé,14,1,Michael Olise,Regular,Iraq,42
125,France,Kylian Mbappé,54,2,Ousmane Dembélé,Regular,Iraq,42
126,France,Ousmane Dembélé,66,2,Michael Olise,Regular,Iraq,42
127,Norway,Marcus Pedersen,43,1,,Regular,Senegal,43
128,Norway,Erling Haaland,48,2,Martin Ødegaard,Regular,Senegal,43
129,Senegal,Ismaïla Sarr,53,2,Sadio Mané,Regular,Norway,43
130,Norway,Erling Haaland,58,2,Patrick Berg,Regular,Senegal,43
131,Senegal,Ismaïla Sarr,93,2,Nicolas Jackson,Regular,Norway,43
132,Jordan,Nizar Mahmoud Al-Rashdan,36,1,Mousa Tamari,Regular,Algeria,44
133,Algeria,Ahmed Nadhir Benbouali,69,2,Riyad Mahrez,Header,Jordan,44
134,Algeria,Amine Gouiri,82,2,,Regular,Jordan,44
