match_no,team,possession,xg,shots,on_target,BCM,yellow_c,red_c,fouls
63,Saudi Arabia,49,0.39,7,3,1,3,0,16
64,Uruguay,33,0.2,5,1,1,3,1,14
64,Spain,67,0.86,6,1,1,1,0,14
65,Egypt,61,0.84,15,3,0,3,0,11
65,Iran,39,1.97,13,4,4,4,0,16
66,New Zealand,46,0.24,6,2,0,2,0,10
66,Belgium,54,3.64,35,10,2,0,0,7
67,Croatia,53,0.42,8,4,0,1,0,9
67,Ghana,47,0.64,6,1,1,1,0,13
68,Panama,33,0.66,13,2,0,2,0,16
68,England,67,1.56,17,6,2,1,0,13
69,Colombia,55,1.7,24,6,2,1,0,12
69,Portugal,45,0.93,13,2,2,0,0,6
70,DR Congo,58,2.18,19,4,1,3,0,6
70,Uzbekistan,42,0.2,3,1,0,2,0,16
71,Algeria,65,1.67,12,5,1,0,0,3
71,Austria,35,1.49,10,3,1,1,0,7
72,Jordan,27,0.76,5,1,0,3,0,13
72,Argentina,73,2.13,12,4,2,0,0,7
